It took 3.820772171020508 seconds to calculate the mandelbrot graph
It took 0.09927606582641602 seconds to dump the image.
         1099361 function calls (1080072 primitive calls) in 4.411 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       46    0.000    0.000    0.003    0.000 backend_agg.py:268(_prepare_font)
        1    0.000    0.000    0.003    0.003 mathtext.py:1(<module>)
      851    0.000    0.000    0.003    0.000 colors.py:265(to_rgba)
       10    0.000    0.000    0.003    0.000 text.py:101(_get_text_metrics_with_cache_impl)
       10    0.000    0.000    0.003    0.000 backend_agg.py:221(get_text_width_height_descent)
        1    0.000    0.000    0.003    0.003 transforms.py:1(<module>)
     3141    0.002    0.000    0.003    0.000 __init__.py:414(_strip_comment)
      284    0.001    0.000    0.003    0.000 overrides.py:88(verify_matching_signatures)
     6926    0.003    0.000    0.003    0.000 {method 'expandtabs' of 'str' objects}
        1    0.000    0.000    0.002    0.002 lzma.py:1(<module>)
  527/490    0.000    0.000    0.002    0.000 contextlib.py:130(__enter__)
        2    0.000    0.000    0.002    0.001 polynomial.py:1(<module>)
        1    0.000    0.000    0.002    0.002 exceptions.py:1(<module>)
      137    0.000    0.000    0.002    0.000 rcsetup.py:88(f)
        1    0.000    0.000    0.002    0.002 expat.py:1(<module>)
        2    0.000    0.000    0.002    0.001 cm.py:445(to_rgba)
       11    0.000    0.000    0.002    0.000 core.py:1076(parse_string)
        2    0.000    0.000    0.002    0.001 colors.py:683(__call__)
        1    0.000    0.000    0.002    0.002 ImagePalette.py:1(<module>)
      622    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:391(cached)
     1895    0.001    0.000    0.002    0.000 re.py:187(match)
      676    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1356(_path_importer_cache)
        1    0.000    0.000    0.002    0.002 pathlib.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _secondary_axes.py:1(<module>)
        1    0.000    0.000    0.002    0.002 image.py:685(set_data)
      128    0.001    0.000    0.002    0.000 deprecation.py:128(deprecate)
        1    0.000    0.000    0.002    0.002 backend_tools.py:1(<module>)
        1    0.000    0.000    0.002    0.002 __init__.py:742(safe_masked_invalid)
      355    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:169(__enter__)
       16    0.000    0.000    0.002    0.000 ticker.py:2141(__call__)
        1    0.000    0.000    0.002    0.002 decimal.py:1(<module>)
        1    0.000    0.000    0.002    0.002 dates.py:1(<module>)
     3170    0.002    0.000    0.002    0.000 {built-in method __new__ of type object at 0x1030ca710}
        1    0.002    0.002    0.002    0.002 core.py:2332(masked_invalid)
     1265    0.002    0.000    0.002    0.000 {built-in method numpy.array}
      334    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:510(_get_cached)
4463/3768    0.001    0.000    0.002    0.000 artist.py:289(stale)
      197    0.000    0.000    0.002    0.000 sre_compile.py:560(_compile_info)
      618    0.000    0.000    0.002    0.000 _inspect.py:96(getargspec)
       16    0.000    0.000    0.002    0.000 ticker.py:2145(tick_values)
        1    0.000    0.000    0.002    0.002 TiffImagePlugin.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _mathtext.py:1(<module>)
       46    0.002    0.000    0.002    0.000 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
       32    0.000    0.000    0.002    0.000 colors.py:1026(from_list)
        1    0.000    0.000    0.002    0.002 __init__.py:2289(class_factory)
        1    0.000    0.000    0.002    0.002 hashlib.py:1(<module>)
      256    0.000    0.000    0.002    0.000 rcsetup.py:282(validate_color_for_prop_cycle)
       27    0.001    0.000    0.002    0.000 __init__.py:328(namedtuple)
     5222    0.001    0.000    0.002    0.000 sre_parse.py:255(get)
       14    0.000    0.000    0.002    0.000 hashlib.py:126(__get_openssl_constructor)
        1    0.000    0.000    0.002    0.002 _pocketfft.py:1(<module>)
       36    0.000    0.000    0.002    0.000 rcsetup.py:107(<listcomp>)
  184/171    0.000    0.000    0.002    0.000 typing.py:306(inner)
       16    0.000    0.000    0.002    0.000 ticker.py:2081(_raw_ticks)
      447    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
   260/11    0.000    0.000    0.002    0.000 core.py:776(_parseNoCache)
        1    0.000    0.000    0.002    0.002 numerictypes.py:1(<module>)
        1    0.000    0.000    0.002    0.002 npyio.py:1(<module>)
        2    0.000    0.000    0.002    0.001 axis.py:1010(set_clip_path)
    63/11    0.000    0.000    0.002    0.000 core.py:3861(parseImpl)
     9799    0.002    0.000    0.002    0.000 {built-in method builtins.hasattr}
      483    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
        9    0.000    0.000    0.002    0.000 core.py:5392(__init__)
       56    0.000    0.000    0.002    0.000 lines.py:656(recache)
     3086    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:128(<listcomp>)
       12    0.000    0.000    0.002    0.000 patches.py:580(draw)
        1    0.000    0.000    0.002    0.002 _ufunc_config.py:1(<module>)
        1    0.000    0.000    0.002    0.002 backend_agg.py:1(<module>)
       46    0.000    0.000    0.002    0.000 font_manager.py:1579(get_font)
        1    0.001    0.001    0.002    0.002 scimath.py:1(<module>)
     2337    0.000    0.000    0.002    0.000 abc.py:117(__instancecheck__)
     1405    0.000    0.000    0.002    0.000 colors.py:213(_is_nth_color)
     29/8    0.000    0.000    0.002    0.000 core.py:4379(leave_whitespace)
       35    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1587(_fill_cache)
        1    0.000    0.000    0.002    0.002 decoder.py:1(<module>)
        2    0.000    0.000    0.002    0.001 hashlib.py:82(__get_builtin_constructor)
        1    0.000    0.000    0.002    0.002 font_manager.py:1619(_load_fontmanager)
     4273    0.001    0.000    0.002    0.000 __init__.py:658(__getitem__)
       25    0.001    0.000    0.002    0.000 enum.py:180(__new__)
    32413    0.002    0.000    0.002    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.002    0.002 bz2.py:1(<module>)
      137    0.000    0.000    0.002    0.000 transforms.py:1467(transform)
       19    0.000    0.000    0.002    0.000 rcsetup.py:632(cycler)
      806    0.001    0.000    0.002    0.000 font_manager.py:720(__hash__)
     6933    0.001    0.000    0.002    0.000 sre_parse.py:165(__getitem__)
       97    0.000    0.000    0.002    0.000 abc.py:105(__new__)
        1    0.000    0.000    0.002    0.002 font_manager.py:1053(json_load)
        1    0.000    0.000    0.002    0.002 rrule.py:1(<module>)
        1    0.000    0.000    0.002    0.002 version.py:157(Version)
      402    0.000    0.000    0.002    0.000 core.py:499(copy)
       18    0.000    0.000    0.002    0.000 rcsetup.py:404(validate_font_properties)
        1    0.000    0.000    0.002    0.002 __init__.py:274(load)
      386    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:216(_lock_unlock_module)
 1200/393    0.001    0.000    0.002    0.000 sre_parse.py:175(getwidth)
      741    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
      339    0.000    0.000    0.002    0.000 font_manager.py:982(copy)
        1    0.002    0.002    0.002    0.002 font_manager.py:1547(_get_font)
        9    0.000    0.000    0.002    0.000 _fontconfig_pattern.py:119(parse)
        1    0.000    0.000    0.001    0.001 spines.py:1(<module>)
        1    0.000    0.000    0.001    0.001 getlimits.py:158(_register_known_types)
       28    0.001    0.000    0.001    0.000 util.py:182(_collapse_string_to_ranges)
       88    0.001    0.000    0.001    0.000 {built-in method posix.getcwd}
        8    0.000    0.000    0.001    0.000 axis.py:1418(get_minorticklocs)
      137    0.001    0.000    0.001    0.000 sre_compile.py:292(_optimize_charset)
        8    0.000    0.000    0.001    0.000 core.py:2678(__init__)
        1    0.000    0.000    0.001    0.001 contextvars.py:1(<module>)
       35    0.001    0.000    0.001    0.000 {built-in method posix.listdir}
     1030    0.001    0.000    0.001    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     2337    0.000    0.000    0.001    0.000 {built-in method _abc._abc_instancecheck}
        1    0.000    0.000    0.001    0.001 struct.py:1(<module>)
      741    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:100(acquire)
     6213    0.001    0.000    0.001    0.000 sre_parse.py:234(__next)
    19551    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
       12    0.000    0.000    0.001    0.000 patches.py:531(_draw_paths_with_artist_properties)
     55/8    0.000    0.000    0.001    0.000 core.py:3635(leave_whitespace)
       74    0.000    0.000    0.001    0.000 artist.py:1196(_cm_set)
